JAPANESE_ja_Hani_x_jsource
===========================

Characters include in the JAPANESE_ja_Hani_x_jsource ja_Hani_x_jsource set
===========================================================================

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
003400           㐀
003402           㐂
003404..003406   㐄 㐅 㐆
003427           㐧
00342a           㐪
00342c..003430   㐬 㐭 㐮 㐯 㐰
003436           㐶
00343a           㐺
003441..003442   㑁 㑂
003445           㑅
003450           㑐
003452..003453   㑒 㑓
003458           㑘
00345e           㑞
003464           㑤
003466..003468   㑦 㑧 㑨
00346a           㑪
003478..003479   㑸 㑹
003492           㒒
0034ab           㒫
0034b4..0034b6   㒴 㒵 㒶
0034bc           㒼
0034c1           㓁
0034c3           㓃
0034c7           㓇
0034d7           㓗
0034db..0034dd   㓛 㓜 㓝
0034ea           㓪
0034ec           㓬
0034f2           㓲
003501           㔁
003513           㔓
003515           㔕
003517           㔗
00351a           㔚
00351c           㔜
00351f           㔟
003526           㔦
00352b..00352c   㔫 㔬
003530..003531   㔰 㔱
003533..003535   㔳 㔴 㔵
00353a           㔺
00353c           㔼
00353e           㔾
003543           㕃
003553           㕓
00355a..00355e   㕚 㕛 㕜 㕝 㕞
003563           㕣
003566..003567   㕦 㕧
00356e..00356f   㕮 㕯
003575           㕵
003579           㕹
00357d           㕽
003596           㖖
0035a2           㖢
0035a6           㖦
0035a8           㖨
0035ab           㖫
0035b6           㖶
0035c1           㗁
0035c5..0035c7   㗅 㗆 㗇
0035d4           㗔
0035d6           㗖
0035da..0035db   㗚 㗛
0035e4           㗤
0035eb           㗫
0035f4           㗴
003605           㘅
00361c           㘜
003622           㘢
00362b           㘫
003632           㘲
003634           㘴
003644           㙄
00364a           㙊
00367b           㙻
003686           㚆
003688..003689   㚈 㚉
003691           㚑
003695..003696   㚕 㚖
003699           㚙
0036a0           㚠
0036bb           㚻
0036cf           㛏
0036d2           㛒
0036f7           㛷
00373e           㜾
003747           㝇
00374b           㝋
003751           㝑
003758..003759   㝘 㝙
00375f..003762   㝟 㝠 㝡 㝢
00376b..00376d   㝫 㝬 㝭
003775           㝵
003778           㝸
00378d           㞍
0037aa           㞪
0037ac           㞬
0037ae           㞮
0037b4           㞴
0037b7           㞷
0037ba..0037bc   㞺 㞻 㞼
0037bf           㞿
0037c1           㟁
0037d2           㟒
0037db..0037dc   㟛 㟜
0037df           㟟
0037e1..0037e2   㟡 㟢
0037e7..0037e8   㟧 㟨
0037f4..0037f5   㟴 㟵
0037fb           㟻
0037fd           㟽
003800           㠀
003809           㠉
00380c           㠌
00380e           㠎
003810           㠐
003815..003817   㠕 㠖 㠗
00381d           㠝
00382a           㠪
00382f           㠯
003836           㠶
00383c           㠼
003840           㡀
00384c           㡌
00385c           㡜
00385e           㡞
003861..003863   㡡 㡢 㡣
00386b..00386c   㡫 㡬
003873           㡳
00387d           㡽
003888           㢈
00388b           㢋
003891           㢑
003895           㢕
00389c           㢜
0038a1..0038a3   㢡 㢢 㢣
0038a7           㢧
0038b4           㢴
0038c0           㣀
0038c3           㣃
0038c9           㣉
0038d8           㣘
0038de           㣞
0038e0           㣠
0038e2           㣢
0038e5           㣥
0038ea           㣪
0038f1..0038f2   㣱 㣲
0038fa           㣺
0038fc           㣼
003905           㤅
003917           㤗
00391a           㤚
003920           㤠
003922           㤢
003929           㤩
00392b           㤫
00392f           㤯
003935           㤵
00393a           㤺
003940..003941   㥀 㥁
00394c           㥌
003950           㥐
003960           㥠
003963..003964   㥣 㥤
003966           㥦
003969           㥩
00396f           㥯
003971..003973   㥱 㥲 㥳
003998           㦘
00399b           㦛
00399e           㦞
0039a3..0039a5   㦣 㦤 㦥
0039ae           㦮
0039b1..0039b2   㦱 㦲
0039b6           㦶
0039be           㦾
0039c8           㧈
0039de           㧞
0039e8           㧨
0039fd           㧽
003a0b           㨋
003a17           㨗
003a2f           㨯
003a36           㨶
003a3b           㨻
003a3f           㨿
003a4d           㩍
003a5c           㩜
003a6e           㩮
003a73           㩳
003a7d           㩽
003a85           㪅
003a89           㪉
003a98           㪘
003a9f           㪟
003ab0           㪰
003abd           㪽
003abf..003ac0   㪿 㫀
003ac4           㫄
003ad0..003ad1   㫐 㫑
003ad5..003ad7   㫕 㫖 㫗
003adb           㫛
003ade           㫞
003ae0           㫠
003ae4           㫤
003ae6           㫦
003ae8           㫨
003aea           㫪
003aef           㫯
003af3..003af4   㫳 㫴
003af6..003af7   㫶 㫷
003afc           㫼
003b01           㬁
003b0a           㬊
003b0e           㬎
