JAPANESE_ja_Hani_x_jinmeiyo
============================

Characters include in the JAPANESE_ja_Hani_x_jinmeiyo ja_Hani_x_jinmeiyo set
=============================================================================

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
004e11           丑
004e1e           丞
004e43           乃
004e4b           之
004e4e           乎
004e58           乘
004e5f           也
004e91           云
004e98..004e99   亘 亙
004e9b           些
004e9e           亞
004ea5..004ea6   亥 亦
004ea8           亨
004eae           亮
004ed4           仔
004f0a           伊
004f0d           伍
004f36           伶
004f3d           伽
004f43           佃
004f51           佑
004f5b           佛
004f83           侃
004f86           來
004f91           侑
004fae           侮
004fc4           俄
004fd0           俐
004fe0           俠
004fe3           俣
004ff1           俱
005016           倖
005026           倦
00502d           倭
005072           偲
0050ad           傭
0050b3           傳
0050de           僞
0050e7           僧
0050f9           價
005109           儉
005132           儲
005141           允
00514e           兎
005152           兒
00515c           兜
005176           其
0051a8           冨
0051b4           冴
0051c9           凉
0051cc           凌
0051db..0051dc   凛 凜
0051e7           凧
0051ea           凪
0051f0..0051f1   凰 凱
0051fd           函
005269           剩
005289           劉
00528d           劍
0052ab           劫
0052c1           勁
0052c9           勉
0052e4           勤
0052f3           勳
0052fa           勺
0052ff           勿
005301           匁
005321           匡
005351           卑
00535c           卜
00536f           卯
005377           卷
00537d           卽
00537f           卿
0053a8..0053a9   厨 厩
0053c9           叉
0053e1..0053e2   叡 叢
0053ea           只
0053f6           叶
00541e           吞
00543b           吻
00543e           吾
0054c9           哉
0054e8..0054e9   哨 哩
005544           啄
00558b           喋
0055a7           喧
0055ac           喬
0055ae           單
0055b0           喰
005606           嘆
005609           嘉
005617           嘗
005629           嘩
005642           噂
00564c           噌
005668           器
0056b4           嚴
005703           圃
005708           圈
00570b           國
005713           圓
005718           團
00572d           圭
005750           坐
005766           坦
0057dc           埜
0057f4           埴
00582f..005830   堯 堰
005835           堵
00583a           堺
005859           塙
00589e           增
0058a8           墨
0058d5           壕
0058d8           壘
0058de           壞
0058ec           壬
0058ef           壯
0058fd           壽
005937           夷
005944           奄
00594e           奎
005957           套
005967           奧
00596c           奬
0059e5           姥
0059ea           姪
005a03           娃
005a29           娩
005b09           嬉
005b43           孃
005b5c           孜
005b5f           孟
005b8b           宋
005b8f           宏
005b95           宕
005ba5           宥
005bc5           寅
005bd3           寓
005be2           寢
005be6           實
005bec           寬
005bf5           寵
005c07..005c08   將 專
005c16           尖
005c24           尤
005c2d           尭
005c51           屑
005c64           層
005ce8           峨
005cef           峯
005cfb           峻
005cfd           峽
005d1a           崚
005d69           嵩
005d6f           嵯
005d8b           嶋
005dba           嶺
005dcc           巌
005dd6           巖
005de2           巢
005deb           巫
005df2..005df4   已 巳 巴
005df7           巷
005dfd           巽
005e16           帖
005e36           帶
005e4c           幌
005e61           幡
005e84           庄
005e87           庇
005e9a           庚
005eb5           庵
005eca           廊
005edf           廟
005ee3           廣
005ef3           廳
005efb           廻
005eff           廿
005f18           弘
005f1b           弛
005f48           彈
005f4c           彌
005f57           彗
005f66           彦
005f6a           彪
005f6c           彬
005f9e           從
005fa0           徠
005fb5           徵
005fb7           德
005fbd           徽
005ffd           忽
00601c           怜
006046           恆
006055           恕
006062           恢
006070           恰
006089           悉
00608c           悌
006094           悔
0060c7           惇
0060da           惚
0060df..0060e1   惟 惠 惡
0060e3           惣
0060f9..0060fa   惹 惺
00613c           愼
006167           慧
00618e           憎
006190           憐
0061c9           應
0061f2           懲
0061f7           懷
00620a           戊
006216           或
00621f           戟
006230           戰
006232           戲
006258           托
0062c2           拂
0062d4           拔
0062dc           拜
006309           按
00633a           挺
00633d           挽
006367           捧
006372           捲
006377           捷
00637a           捺
0063a0           掠
0063ac           掬
0063c3           揃
0063ed           揭
006416           搖
00641c           搜
006451           摑
00647a           摺
006492           撒
00649e           撞
0064ab           撫
0064ad           播
0064b0           撰
0064ca           擊
0064e2           擢
00651d           攝
006536           收
00654d           敍
00654f           敏
006566           敦
006590           斐
0065a1           斡
0065a7           斧
0065af           斯
0065bc           於
0065ed           旭
006602           昂
00660a           昊
00660c           昌
00660f           昏
006634           昴
006643..006644   晃 晄
00664b           晋
00664f           晏
006652           晒
00665a           晚
00665d           晝
00665f           晟
006666           晦
006668           晨
00667a           智
006689           暉
006691           暑
0066a2           暢
0066c6           曆
0066c9           曉
0066d9           曙
0066dd           曝
0066f3           曳
0066fe           曾
00670b           朋
006714           朔
006717           朗
00674e..00674f   李 杏
006756           杖
00675c           杜
00676d           杭
006775           杵
006777           杷
006787           枇
0067ca           柊
0067cf           柏
0067d1           柑
0067d8           柘
0067da           柚
0067f4           柴
