JAPANESE_ja_Hani_x_joyo
========================

Characters include in the JAPANESE_ja_Hani_x_joyo ja_Hani_x_joyo set
=====================================================================

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
004e00..004e01   一 丁
004e03           七
004e07..004e0b   万 丈 三 上 下
004e0d..004e0e   不 与
004e14           且
004e16           世
004e18..004e19   丘 丙
004e21           両
004e26           並
004e2d           中
004e32           串
004e38..004e39   丸 丹
004e3b..004e3c   主 丼
004e45           久
004e4f           乏
004e57           乗
004e59           乙
004e5d..004e5e   九 乞
004e71           乱
004e73           乳
004e7e           乾
004e80           亀
004e86           了
004e88..004e89   予 争
004e8b..004e8c   事 二
004e92           互
004e94..004e95   五 井
004e9c           亜
004ea1           亡
004ea4           交
004eab..004ead   享 京 亭
004eba           人
004ec1           仁
004eca..004ecb   今 介
004ecf           仏
004ed5..004ed6   仕 他
004ed8..004ed9   付 仙
004ee3..004ee5   代 令 以
004eee           仮
004ef0           仰
004ef2           仲
004ef6           件
004efb           任
004f01           企
004f0e..004f11   伎 伏 伐 休
004f1a           会
004f1d           伝
004f2f           伯
004f34           伴
004f38           伸
004f3a           伺
004f3c           似
004f46           但
004f4d..004f50   位 低 住 佐
004f53           体
004f55           何
004f59           余
004f5c           作
004f73           佳
004f75           併
004f7f           使
004f8b           例
004f8d           侍
004f9b           供
004f9d           依
004fa1           価
004fae..004faf   侮 侯
004fb5..004fb6   侵 侶
004fbf           便
004fc2..004fc3   係 促
004fca           俊
004fd7           俗
004fdd           保
004fe1           信
004fee           修
004ff3           俳
004ff5           俵
004ff8           俸
004ffa           俺
005009           倉
00500b           個
00500d           倍
005012           倒
005019           候
00501f           借
005023..005024   倣 値
00502b           倫
005039           倹
005049           偉
00504f           偏
00505c           停
005065           健
005074..005076   側 偵 偶
00507d           偽
00508d           傍
005091           傑
005098..005099   傘 備
0050ac           催
0050b2           傲
0050b5           債
0050b7           傷
0050be           傾
0050c5           僅
0050cd           働
0050cf           像
0050d5           僕
0050da           僚
0050e7           僧
005100           儀
005104           億
005112           儒
00511f           償
00512a           優
005143..005146   元 兄 充 兆
005148..005149   先 光
00514b           克
00514d           免
005150           児
00515a           党
005165           入
005168           全
00516b..00516d   八 公 六
005171           共
005175           兵
005177..005178   具 典
00517c           兼
005185..005186   内 円
00518a           冊
00518d           再
005192           冒
005197           冗
005199           写
0051a0           冠
0051a5           冥
0051ac           冬
0051b6..0051b7   冶 冷
0051c4           凄
0051c6           准
0051cd           凍
0051dd           凝
0051e1           凡
0051e6           処
0051f6           凶
0051f8..0051fa   凸 凹 出
005200           刀
005203           刃
005206..005208   分 切 刈
00520a           刊
005211           刑
005217           列
00521d           初
005224..005225   判 別
005229           利
005230           到
