Unicode |Character
# Jinmeiyō kanji not part of the jōyō kanji
0x004E11|丑
0x004E1E|丞
0x004E43|乃
0x004E4B|之
0x004E4E|乎
0x004E5F|也
0x004E91|云
0x004E98|亘
0x004E99|亙
0x004E9B|些
0x004EA6|亦
0x004EA5|亥
0x004EA8|亨
0x004EAE|亮
0x004ED4|仔
0x004F0A|伊
0x004F0D|伍
0x004F3D|伽
0x004F43|佃
0x004F51|佑
0x004F36|伶
0x004F83|侃
0x004F91|侑
0x004FC4|俄
0x004FE0|俠
0x004FE3|俣
0x004FD0|俐
0x00502D|倭
0x004FF1|俱
0x005026|倦
0x005016|倖
0x005072|偲
0x0050AD|傭
0x005132|儲
0x005141|允
0x00514E|兎
0x00515C|兜
0x005176|其
0x0051B4|冴
0x0051CC|凌
0x0051DC|凜
0x0051DB|凛
0x0051E7|凧
0x0051EA|凪
0x0051F0|凰
0x0051F1|凱
0x0051FD|函
0x005289|劉
0x0052AB|劫
0x0052C1|勁
0x0052FA|勺
0x0052FF|勿
0x005301|匁
0x005321|匡
0x005EFF|廿
0x00535C|卜
0x00536F|卯
0x00537F|卿
0x0053A8|厨
0x0053A9|厩
0x0053C9|叉
0x0053E1|叡
0x0053E2|叢
0x0053F6|叶
0x0053EA|只
0x00543E|吾
0x00541E|吞
0x00543B|吻
0x0054C9|哉
0x0054E8|哨
0x005544|啄
0x0054E9|哩
0x0055AC|喬
0x0055A7|喧
0x0055B0|喰
0x00558B|喋
0x005629|嘩
0x005609|嘉
0x005617|嘗
0x00564C|噌
0x005642|噂
0x005703|圃
0x00572D|圭
0x005750|坐
0x005C2D|尭
0x00582F|堯
0x005766|坦
0x0057F4|埴
0x005830|堰
0x00583A|堺
0x005835|堵
0x005859|塙
0x0058D5|壕
0x0058EC|壬
0x005937|夷
0x005944|奄
0x00594E|奎
0x005957|套
0x005A03|娃
0x0059EA|姪
0x0059E5|姥
0x005A29|娩
0x005B09|嬉
0x005B5F|孟
0x005B8F|宏
0x005B8B|宋
0x005B95|宕
0x005BA5|宥
0x005BC5|寅
0x005BD3|寓
0x005BF5|寵
0x005C16|尖
0x005C24|尤
0x005C51|屑
0x005CE8|峨
0x005CFB|峻
0x005D1A|崚
0x005D6F|嵯
0x005D69|嵩
0x005DBA|嶺
0x005DCC|巌
0x005DD6|巖
0x005DEB|巫
0x005DF2|已
0x005DF3|巳
0x005DF4|巴
0x005DF7|巷
0x005DFD|巽
0x005E16|帖
0x005E4C|幌
0x005E61|幡
0x005E84|庄
0x005E87|庇
0x005E9A|庚
0x005EB5|庵
0x005EDF|廟
0x005EFB|廻
0x005F18|弘
0x005F1B|弛
0x005F57|彗
0x005F66|彦
0x005F6A|彪
0x005F6C|彬
0x005FA0|徠
0x005FFD|忽
0x00601C|怜
0x006062|恢
0x006070|恰
0x006055|恕
0x00608C|悌
0x0060DF|惟
0x0060DA|惚
0x006089|悉
0x0060C7|惇
0x0060F9|惹
0x0060FA|惺
0x0060E3|惣
0x006167|慧
0x006190|憐
0x00620A|戊
0x006216|或
0x00621F|戟
0x006258|托
0x006309|按
0x00633A|挺
0x00633D|挽
0x0063AC|掬
0x006372|捲
0x006377|捷
0x00637A|捺
0x006367|捧
0x0063A0|掠
0x0063C3|揃
0x006451|摑
0x00647A|摺
0x006492|撒
0x0064B0|撰
0x00649E|撞
0x0064AD|播
0x0064AB|撫
0x0064E2|擢
0x005B5C|孜
0x006566|敦
0x006590|斐
0x0065A1|斡
0x0065A7|斧
0x0065AF|斯
0x0065BC|於
0x0065ED|旭
0x006602|昂
0x00660A|昊
0x00660F|昏
0x00660C|昌
0x006634|昴
0x00664F|晏
0x006643|晃
0x006644|晄
0x006652|晒
0x00664B|晋
0x00665F|晟
0x006666|晦
0x006668|晨
0x00667A|智
0x006689|暉
0x0066A2|暢
0x0066D9|曙
0x0066DD|曝
0x0066F3|曳
0x00670B|朋
0x006714|朔
0x00674F|杏
0x006756|杖
0x00675C|杜
0x00674E|李
0x00676D|杭
0x006775|杵
0x006777|杷
0x006787|枇
0x0067D1|柑
0x0067F4|柴
0x0067D8|柘
0x0067CA|柊
0x0067CF|柏
0x0067FE|柾
0x0067DA|柚
0x006867|桧
0x006A9C|檜
0x00681E|栞
0x006854|桔
0x006842|桂
0x006816|栖
0x006850|桐
0x006817|栗
0x0068A7|梧
0x006893|梓
0x0068A2|梢
0x00689B|梛
0x0068AF|梯
0x006876|桶
0x0068B6|梶
0x00691B|椛
0x006881|梁
0x0068F2|棲
0x00690B|椋
0x006900|椀
0x00696F|楯
0x00695A|楚
0x006955|楕
0x00693F|椿
0x006960|楠
0x006953|楓
0x006930|椰
0x006962|楢
0x00694A|楊
0x00698E|榎
0x006A3A|樺
0x00698A|榊
0x00699B|榛
0x0069D9|槙
0x0069C7|槇
0x0069CD|槍
0x0069CC|槌
0x006A2B|樫
0x0069FB|槻
0x006A1F|樟
0x006A0B|樋
0x006A58|橘
0x006A3D|樽
0x006A59|橙
0x006A8E|檎
0x006A80|檀
0x006AC2|櫂
0x006ADB|櫛
0x006AD3|櫓
0x006B23|欣
0x006B3D|欽
0x006B4E|歎
0x006B64|此
0x006B86|殆
0x006BC5|毅
0x006BD8|毘
0x006BEC|毬
0x006C40|汀
0x006C5D|汝
0x006C50|汐
0x006C72|汲
0x006C8C|沌
0x006C93|沓
0x006CAB|沫
0x006D38|洸
0x006D32|洲
0x006D35|洵
0x006D1B|洛
0x006D69|浩
0x006D6C|浬
0x006DF5|淵
0x006DF3|淳
0x006E1A|渚
0x00FA46|渚
0x006DC0|淀
0x006DCB|淋
0x006E25|渥
0x006E3E|渾
0x006E58|湘
0x006E4A|湊
0x006E5B|湛
0x006EA2|溢
0x006EC9|滉
0x006E9C|溜
0x006F31|漱
0x006F15|漕
0x006F23|漣
0x006FAA|澪
0x006FE1|濡
0x007015|瀕
0x007058|灘
0x007078|灸
0x00707C|灼
0x0070CF|烏
0x007130|焰
0x00711A|焚
0x00714C|煌
0x007164|煤
0x007149|煉
0x007199|熙
0x0071D5|燕
0x0071CE|燎
0x0071E6|燦
0x0071ED|燭
0x0071FF|燿
0x00723E|爾
0x007252|牒
0x00725F|牟
0x007261|牡
0x00727D|牽
0x007280|犀
0x0072FC|狼
0x00732A|猪
0x00FA16|猪
0x007345|獅
0x007396|玖
0x0073C2|珂
0x0073C8|珈
0x0073CA|珊
0x0073C0|珀
0x0073B2|玲
0x007422|琢
0x00FA4A|琢
0x007409|琉
0x00745B|瑛
0x007425|琥
0x007436|琶
0x007435|琵
0x007433|琳
0x00745A|瑚
0x00745E|瑞
0x007476|瑶
0x007473|瑳
0x0074DC|瓜
0x0074E2|瓢
0x007525|甥
0x00752B|甫
0x007560|畠
0x007562|畢
0x00758B|疋
0x00758F|疏
0x007690|皐
0x007693|皓
0x007738|眸
0x0077A5|瞥
0x0077E9|矩
0x007826|砦
0x007825|砥
0x007827|砧
0x00786F|硯
0x007893|碓
0x007897|碗
0x0078A9|碩
0x0078A7|碧
0x0078D0|磐
0x0078EF|磯
0x007947|祇
0x007962|祢
0x0079B0|禰
0x007950|祐
0x00FA4F|祐
0x007977|祷
0x0079B1|禱
0x007984|禄
0x00797F|祿
0x00798E|禎
0x00FA53|禎
0x0079BD|禽
0x0079BE|禾
0x0079E6|秦
0x0079E4|秤
0x007A00|稀
0x007A14|稔
0x007A1F|稟
0x007A1C|稜
0x007A63|穣
0x007A70|穰
0x007A79|穹
0x007A7F|穿
0x007A84|窄
0x007AAA|窪
0x007ABA|窺
0x007AE3|竣
0x007AEA|竪
0x007AFA|竺
0x007AFF|竿
0x007B08|笈
0x007B39|笹
0x007B19|笙
0x007B20|笠
0x007B48|筈
0x007B51|筑
0x007B95|箕
0x007B94|箔
0x007BC7|篇
0x007BE0|篠
0x007C1E|簞
0x007C3E|簾
0x007C7E|籾
0x007CA5|粥
0x007C9F|粟
0x007CCA|糊
0x007D18|紘
0x007D17|紗
0x007D10|紐
0x007D43|絃
0x007D2C|紬
0x007D46|絆
0x007D62|絢
0x007DBA|綺
0x007D9C|綜
0x007DB4|綴
0x007DCB|緋
0x007DBE|綾
0x007DB8|綸
0x007E1E|縞
0x005FBD|徽
0x007E6B|繫
0x007E61|繡
0x007E82|纂
0x007E8F|纏
0x007F9A|羚
0x007FD4|翔
0x007FE0|翠
0x008000|耀
0x00800C|而
0x008036|耶
0x00803D|耽
0x008061|聡
0x008087|肇
0x00808B|肋
0x0080B4|肴
0x0080E4|胤
0x0080E1|胡
0x008129|脩
0x008154|腔
0x008139|脹
0x00818F|膏
0x0081E5|臥
0x00821C|舜
0x008235|舵
0x0082A5|芥
0x0082B9|芹
0x0082AD|芭
0x008299|芙
0x0082A6|芦
0x0082D1|苑
0x008304|茄
0x0082D4|苔
0x0082FA|苺
0x008305|茅
0x008309|茉
0x008338|茸
0x00831C|茜
0x00839E|莞
0x00837B|荻
0x0083AB|莫
0x008389|莉
0x0083C5|菅
0x0083EB|菫
0x0083D6|菖
0x008404|萄
0x0083E9|菩
0x00840C|萌
0x008420|萠
0x00840A|萊
0x0083F1|菱
0x008466|葦
0x008475|葵
0x008431|萱
0x00847A|葺
0x008429|萩
0x008463|董
0x008461|葡
0x0084D1|蓑
0x008494|蒔
0x008490|蒐
0x0084BC|蒼
0x0084B2|蒲
0x008499|蒙
0x0084C9|蓉
0x0084EE|蓮
0x00852D|蔭
0x008523|蔣
0x008526|蔦
0x0084EC|蓬
0x008513|蔓
0x00854E|蕎
0x008568|蕨
0x008549|蕉
0x008543|蕃
0x00856A|蕪
0x008599|薙
0x00857E|蕾
0x008557|蕗
0x0085C1|藁
0x0085A9|薩
0x008607|蘇
0x00862D|蘭
0x008766|蝦
0x008776|蝶
0x0087BA|螺
0x0087EC|蟬
0x0087F9|蟹
0x00881F|蠟
0x00887F|衿
0x008888|袈
0x0088B4|袴
0x0088E1|裡
0x0088DF|裟
0x0088F3|裳
0x008956|襖
0x008A0A|訊
0x008A23|訣
0x008A3B|註
0x008A62|詢
0x008A6B|詫
0x008ABC|誼
0x008ACF|諏
0x008AC4|諄
0x008AD2|諒
0x008B02|謂
0x008AFA|諺
0x008B83|讃
0x008C79|豹
0x008CB0|貰
0x008CD1|賑
0x008D73|赳
0x008DE8|跨
0x008E44|蹄
0x008E5F|蹟
0x008F14|輔
0x008F2F|輯
0x008F3F|輿
0x008F5F|轟
0x008FB0|辰
0x008FBB|辻
0x008FC2|迂
0x008FC4|迄
0x008FBF|辿
0x008FEA|迪
0x008FE6|迦
0x009019|這
0x00901E|逞
0x009017|逗
0x009022|逢
0x009065|遥
0x009059|遙
0x009041|遁
0x00907C|遼
0x009091|邑
0x007941|祁
0x0090C1|郁
0x00912D|鄭
0x009149|酉
0x009187|醇
0x009190|醐
0x00918D|醍
0x0091AC|醬
0x0091C9|釉
0x0091D8|釘
0x0091E7|釧
0x009291|銑
0x0092D2|鋒
0x0092F8|鋸
0x009318|錘
0x009310|錐
0x009306|錆
0x00932B|錫
0x00936C|鍬
0x0093A7|鎧
0x009583|閃
0x00958F|閏
0x0095A4|閤
0x00963F|阿
0x009640|陀
0x009688|隈
0x0096BC|隼
0x0096C0|雀
0x0096C1|雁
0x0096DB|雛
0x0096EB|雫
0x00971E|霞
0x009756|靖
0x009784|鞄
0x00978D|鞍
0x009798|鞘
0x0097A0|鞠
0x0097AD|鞭
0x009801|頁
0x00980C|頌
0x009817|頗
0x00985A|顚
0x0098AF|颯
0x009957|饗
0x0099A8|馨
0x0099B4|馴
0x0099B3|馳
0x0099D5|駕
0x0099FF|駿
0x009A4D|驍
0x009B41|魁
0x009B6F|魯
0x009B8E|鮎
0x009BC9|鯉
0x009BDB|鯛
0x009C2F|鰯
0x009C52|鱒
0x009C57|鱗
0x009CE9|鳩
0x009CF6|鳶
0x009CF3|鳳
0x009D28|鴨
0x009D3B|鴻
0x009D5C|鵜
0x009D6C|鵬
0x009DD7|鷗
0x009DF2|鷲
0x009DFA|鷺
0x009DF9|鷹
0x009E92|麒
0x009E9F|麟
0x009EBF|麿
0x009ECE|黎
0x009EDB|黛
0x009F0E|鼎
# Traditional variants of jōyō kanji
0x004E9E|亞
0x0060E1|惡
0x007232|爲
0x00FA67|逸
0x0069AE|榮
0x00885E|衞
0x008B01|謁
0x005713|圓
0x007DE3|緣
0x008597|薗
0x0061C9|應
0x006AFB|櫻
0x005967|奧
0x006A6B|橫
0x006EAB|溫
0x0050F9|價
0x00798D|禍
0x006094|悔
0x006D77|海
0x0058DE|壞
0x0061F7|懷
0x006A02|樂
0x006E34|渴
0x005377|卷
0x009677|陷
0x005BEC|寬
0x006F22|漢
0x006C23|氣
0x007948|祈
0x005668|器
0x0050DE|僞
0x006232|戲
0x00865B|虛
0x005CFD|峽
0x0072F9|狹
0x0097FF|響
0x0066C9|曉
0x0052E4|勤
0x008B39|謹
0x0099C8|駈
0x0052F3|勳
0x0085B0|薰
0x0060E0|惠
0x0063ED|揭
0x009DC4|鷄
0x0085DD|藝
0x0064CA|擊
0x007E23|縣
0x005109|儉
0x00528D|劍
0x0096AA|險
0x005708|圈
0x006AA2|檢
0x00986F|顯
0x009A57|驗
0x0056B4|嚴
0x005EE3|廣
0x006046|恆
0x009EC3|黃
0x00570B|國
0x009ED1|黑
0x007A40|穀
0x00788E|碎
0x0096DC|雜
0x007949|祉
0x008996|視
0x005152|兒
0x006FD5|濕
